
6/10/2011 1:44:05 PM   ********* SESSION STARTED *********
6/10/2011 1:44:05 PM   Loading saved list
6/10/2011 1:44:05 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:44:07 PM   Starting PhotoBooth:   Started
6/10/2011 1:44:07 PM   Checking CoreControllUI:   NOT running
6/10/2011 1:44:08 PM   Starting CoreControllUI:   Started
6/10/2011 1:44:08 PM   Checking VideoWallGallery:   NOT running
6/10/2011 1:44:10 PM   Starting VideoWallGallery:   Started
6/10/2011 1:44:25 PM   Saving List
6/10/2011 1:44:25 PM   ********* SESSION FINISHED *********
6/10/2011 1:50:56 PM   ********* SESSION STARTED *********
6/10/2011 1:50:56 PM   Loading saved list
6/10/2011 1:50:56 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:50:56 PM   Starting PhotoBooth:   Started
6/10/2011 1:50:56 PM   Checking CoreControllUI:   NOT running
6/10/2011 1:50:57 PM   Starting CoreControllUI:   Started
6/10/2011 1:50:57 PM   Checking VideoWallGallery:   NOT running
6/10/2011 1:50:58 PM   Starting VideoWallGallery:   Started
6/10/2011 1:51:03 PM   Saving List
6/10/2011 1:51:03 PM   ********* SESSION FINISHED *********
6/10/2011 1:54:18 PM   ********* SESSION STARTED *********
6/10/2011 1:54:18 PM   Loading saved list
6/10/2011 1:54:18 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:54:19 PM   Starting PhotoBooth:   Started
6/10/2011 1:54:19 PM   Checking CoreControllUI:   NOT running
6/10/2011 1:54:20 PM   Starting CoreControllUI:   Started
6/10/2011 1:54:20 PM   Checking VideoWallGallery:   NOT running
6/10/2011 1:54:21 PM   Starting VideoWallGallery:   Started
6/10/2011 1:54:44 PM   Saving List
6/10/2011 1:54:44 PM   ********* SESSION FINISHED *********
6/10/2011 1:55:27 PM   ********* SESSION STARTED *********
6/10/2011 1:55:27 PM   Loading saved list
6/10/2011 1:55:27 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:55:28 PM   Starting PhotoBooth:   Started
6/10/2011 1:55:28 PM   Checking CoreControllUI:   NOT running
